plant t id age layer
1 20 940 12 L2
1 20 944 16 L2
1 20 975 12 L1
1 20 983 20 L1
1 20 927 12 L2
1 20 938 12 L1
1 20 979 20 L1
1 20 985 12 L2
1 20 1005 20 L1
1 20 1015 8 L2
1 20 1003 12 L1
1 20 905 12 L2
1 20 994 12 L2
1 20 1027 20 L1
1 20 1035 8 L1
1 20 1034 20 L1
1 20 1028 8 L2
1 20 1032 16 L2
1 20 1029 4 L2
1 20 1058 20 L1
1 20 1061 20 L1
1 20 1072 20 L2
1 20 1037 12 L1
1 20 1049 20 L1
1 20 1076 12 L1
1 20 1018 12 L1
1 20 1073 20 L1
1 20 1087 20 L1
1 20 1098 8 L1
1 20 1084 8 L1
1 20 1082 8 L1
1 20 1099 20 L1
1 20 1062 20 L1
1 20 1118 16 L1
1 20 1114 16 L1
1 20 1110 12 L1
1 20 1134 8 L1
1 20 1126 12 L1
1 20 1128 20 L1
1 20 1138 20 L1
1 20 1125 20 L1
1 20 1144 20 L1
1 20 1134 8 L1
1 20 1148 20 L1
1 20 1137 20 L1
1 24 249 8 L3+
1 24 346 24 L1
1 24 240 24 L3+
1 24 183 24 L1
1 24 215 24 L1
1 24 286 24 L3+
1 24 370 8 L3+
1 24 294 24 L1
1 24 366 16 L3+
1 24 341 24 L3+
1 24 387 8 L3+
1 24 231 24 L3+
1 24 410 12 L2
1 24 380 12 L3+
1 24 353 8 L3+
1 24 317 24 L3+
1 24 331 24 L3+
1 24 435 8 L2
1 24 481 8 L3+
1 24 423 24 L3+
1 24 348 24 L3+
1 24 407 16 L2
1 24 428 16 L3+
1 24 424 24 L1
1 24 418 20 L3+
1 24 465 8 L2
1 24 503 12 L3+
1 24 371 16 L3+
1 24 533 16 L3+
1 24 362 24 L3+
1 24 448 8 L3+
1 24 463 4 L3+
1 24 530 8 L1
1 24 617 12 L3+
1 24 539 12 L3+
1 24 574 12 L1
1 24 459 4 L3+
1 24 622 12 L3+
1 24 425 24 L2
1 24 508 20 L3+
1 24 390 24 L3+
1 24 564 8 L3+
1 24 625 8 L2
1 24 520 20 L3+
1 24 551 12 L3+
1 24 470 4 L3+
1 24 576 12 L3+
1 24 708 8 L2
1 24 550 12 L3+
1 24 745 24 L1
1 24 721 20 L1
1 24 685 12 L3+
1 24 598 8 L3+
1 24 703 16 L2
1 24 683 16 L3+
1 24 602 16 L3+
1 24 648 12 L3+
1 24 704 8 L3+
1 24 673 8 L3+
1 24 778 12 L1
1 24 709 8 L3+
1 24 768 8 L2
1 24 742 4 L2
1 24 715 8 L3+
1 24 743 8 L2
1 24 770 4 L3+
1 24 732 4 L3+
1 24 809 8 L3+
1 24 817 8 L2
1 24 782 12 L3+
1 24 811 12 L3+
1 24 729 8 L3+
1 24 707 4 L2
1 24 828 12 L1
1 24 733 12 L1
1 24 838 24 L1
1 24 873 8 L2
1 24 824 8 L2
1 24 840 8 L2
1 24 701 8 L3+
