plant	t	id	layer	m.vol	n.vol	m.x	m.y	m.z	expr	d2t	circ	age
13	40	892	L1	165.811810557	0.63846725	67.6911179941	48.0733313457	33.7773867096	125.01998	1.5857735537309	1	16
13	40	893	L1	197.346630329	0.3401973	51.1953498727	50.4403400485	33.6291981199	52.98539	3.74026154079662	2	32
13	40	894	L1	195.09617797	0.09999438	49.0906671583	59.0843643267	33.8238282621	15.767275	4.0107452792492	3	12
13	40	895	L1	180.472985423	0.35687804	53.5101408198	61.1196543075	34.4306379841	63.902145	3.27974510457878	2	16
13	40	896	L1	158.842055148	0.31170475	65.4564245912	62.019462192	34.1839526379	63.858795	1.54676458480544	1	28
13	40	897	L1	94.2531228721	0.082231626	62.3287039129	64.9441773145	34.2864204958	22.374933	2.36857550205868	2	28
13	40	898	L1	180.340047309	0.52098066	62.767628398	49.8433534021	34.5054103022	151.63683	1.35383004299176	1	16
13	40	899	L1	158.908524206	0.3436236	53.4896404182	53.8604745481	34.7141184429	73.730835	2.94861932006604	2	32
13	40	901	L1	175.810655851	0.6728206	57.370019314	48.262986697	34.4983601691	131.74007	2.4798563939117	2	4
13	40	902	L1	136.783823793	0.2669823	57.3333213796	63.3210949749	34.2650233157	64.93226	2.81187219964572	2	16
13	40	903	L1	141.5695959	0.45443794	66.244248273	57.2945239484	34.7284776699	157.16138	0.477334400120859	0	12
13	40	904	L1	118.675753542	0.34804174	60.0151869684	59.3346465096	34.8447563874	118.6462	1.70529646934565	1	12
13	40	905	L1	147.893651897	0.47012687	64.396552803	54.1293941452	34.8739927799	149.75743	0.666636154068131	0	12
13	40	906	L1	154.10376094	0.3999775	57.6552997792	55.4820129237	35.2893897612	121.85088	1.78761966130795	1	12
13	44	391	L3+	322.519351682	0.08015556	66.3205306372	51.1003575858	13.8762725293	12.536648	3.93703187355244	3	8
13	44	455	L3+	222.342732496	0.5506697	60.2631633904	53.1112828407	16.3652546468	67.03467	3.56918978925963	3	0
13	44	497	L3+	247.775385283	0.7006648	54.3173547543	49.6297552017	18.2961737198	57.87822	3.26470222165607	3	16
13	44	498	L3+	150.950513469	0.28090551	50.3994473673	51.4621834503	16.6536911516	32.82774	4.06122408117752	3	0
13	44	512	L3+	189.333099285	0.50321597	60.5138541955	48.7999392013	17.1647217932	70.296364	3.43984446824173	3	8
13	44	539	L3+	153.510029644	0.26842314	48.2217957745	47.9183241097	17.9558164964	25.118479	4.09112201500418	3	0
13	44	584	L3+	171.091468133	0.11780907	62.9611599113	44.7100701769	21.315886332	15.566505	2.81101966385329	2	20
13	44	602	L3+	226.628906408	0.41078436	67.9919945822	48.9524212765	20.8477286076	27.483686	3.31360215946512	2	28
13	44	616	L3+	235.861446897	0.6097806	58.3936856772	45.6537376998	22.2375877684	38.28096	2.41027809663342	2	44
13	44	617	L3+	233.433969254	0.49661374	57.1824173938	55.2464971873	22.5975354782	43.074028	2.53495767995925	2	36
13	44	654	L3+	211.261652547	0.592037	62.9243850485	51.9467186693	23.135951417	60.496597	2.26487497519467	2	28
13	44	668	L2	208.499000168	0.14751925	45.8851972396	46.2549850307	23.6545514214	8.168474	3.48250220936546	2	44
13	44	669	L3+	228.172741561	0.3459997	52.2243074245	44.315379015	23.7257863109	18.1912	2.60672751529318	2	44
13	44	670	L3+	195.051383438	0.5140478	51.7850177823	51.7354130399	24.1953978886	41.36421	2.5291208081864	2	8
13	44	676	L3+	59.0313809906	0.105429836	48.0706672846	48.8082159432	24.4227550983	16.584066	3.05562605341579	2	0
13	44	677	L3+	177.144927023	0.58883905	56.2312570027	49.2165414275	24.8392927735	79.01635	1.8224430194346	2	44
13	44	681	L2	170.096100731	0.2045669	69.8261108143	42.354746896	24.0186050605	22.63971	3.56714062775447	2	16
13	44	712	L2	206.873910533	0.28379402	65.9720223313	42.4889456761	25.5749782941	28.268679	2.53147791214521	1	16
13	44	716	L2	139.38190663	0.051992796	70.8934663766	57.2983624653	25.3933733992	10.136895	3.76090258211065	3	0
13	44	736	L2	126.84840282	0.03889144	66.1401052054	53.1153434697	26.9169416455	8.846145	2.3839562240068	2	0
13	44	751	L2	115.137600638	0.44874734	63.1171713969	45.9709793412	27.3171637633	86.35507	1.64058573300395	1	0
13	44	752	L2	242.04694432	0.4366776	55.0198058698	62.004806698	27.5960502574	41.28311	3.20433042158016	2	16
13	44	753	L2	137.929482769	0.2680105	55.0766558938	42.1476744264	27.4733121463	15.051804	2.25857414449854	1	4
13	44	761	L1	186.489192424	0.22375472	72.1362299858	39.2919724133	28.2162363591	28.65529	3.70698149442815	2	40
13	44	762	L2	211.271809357	0.078711316	46.0892919495	57.4619664248	27.8165169185	13.192625	3.84066616709925	2	24
13	44	763	L2	155.399196345	0.46071395	60.1490662932	48.2075138431	28.3631647747	89.43351	0.976579672221014	1	0
13	44	764	L2	181.17718068	0.47938597	56.3547128723	53.7634238089	28.8151846147	68.867386	1.66199378808039	1	16
13	44	765	L2	185.717274847	0.4522548	60.7093412849	56.0969083464	28.1123382698	73.08634	1.97845001993614	2	16
13	44	766	L2	123.750575704	0.281215	52.7360897113	57.8609663721	28.3526454021	46.272503	2.79516162650017	2	16
13	44	768	L1	133.704249718	0.18981497	67.532406372	35.4888077594	28.3766412385	12.485778	3.84066585117566	2	8
13	44	770	L2	189.515921869	0.41212544	51.9205532465	47.6464813047	28.8705154279	45.595646	1.88085491783971	1	44
13	44	771	L1	132.688568696	0.06540363	67.4063390836	69.2498514515	28.5347117027	8.613527	4.9452088731516	5	8
13	44	774	L2	129.956386747	0.33506468	49.2955213944	51.0850058023	28.9537278131	55.104572	2.40199022940658	2	8
13	44	779	L1	172.523578373	0.24841003	72.0359470551	44.9763579582	29.0684340664	39.85371	2.90123434802967	2	16
13	44	786	L1	198.585953394	0.24521206	65.3181405303	66.1643974883	29.9777973986	31.07314	4.14697423290111	4	8
13	44	787	L1	161.737045921	0.24562469	73.6004962289	49.0670020837	29.2968971033	43.00179	3.38111194539455	2	16
13	44	790	L1	161.716732301	0.34692812	64.8221743471	38.676319981	30.447272559	72.047516	2.58995846974634	1	24
13	44	792	L1	155.307785053	0.098414935	73.2163894945	55.1272994973	29.9069352801	10.723243	3.44059871377178	3	36
13	44	794	L1	188.845572395	0.21436712	54.3604067916	34.135566917	30.0915285039	24.045471	3.43535322744936	2	12
13	44	800	L1	193.944291124	0.50548553	68.5808298614	54.8724927352	31.2627664999	119.737915	2.48694376174905	2	12
13	44	804	L1	156.475818228	0.08273457	38.2544095968	55.5430002178	30.9231399933	13.632134	4.9846000811034	3	16
13	44	806	L1	162.935549527	0.19270346	52.0299097517	38.0873164825	31.4230933274	34.43652	2.71914157743121	2	12
13	44	807	L1	232.245622459	0.3807647	58.577017109	38.4367343834	31.6045519203	43.786568	2.30900631127265	1	44
13	44	808	L1	123.781046134	0.3207254	67.5888388548	42.5278382835	30.8499047734	88.56046	2.40728421256153	1	24
13	44	809	L1	254.62107537	0.6350549	65.9630057371	48.4837875922	31.8507697702	112.93082	1.76644566416288	1	44
13	44	810	L1	142.439106506	0.069220565	39.4508212694	48.9340660172	31.5980124298	13.192226	4.46664620959002	3	24
13	44	816	L1	187.037660176	0.5522171	61.4428738717	43.9843109017	32.3474741701	132.3807	1.15179191435728	0	20
13	44	817	L1	221.062974408	0.34238908	44.2502571515	46.5419539744	32.0996384828	44.88764	3.48137516474169	2	36
13	44	818	L1	120.165221696	0.3865417	64.5453545951	54.5278984818	32.4354483538	127.98628	1.80239115279364	2	12
